site;year;month;day;hour;minute;second;value
BRW;1971;4;25;20;18;0;338.250
BRW;1971;5;3;23;46;0;330.990
BRW;1971;5;9;23;46;0;331.440
BRW;1971;5;18;0;12;0;332.630
BRW;1971;5;24;23;47;0;331.990
BRW;1971;5;31;23;50;0;332.330
BRW;1971;6;7;23;51;0;331.390
BRW;1971;6;15;0;14;0;331.100
BRW;1971;6;22;0;9;0;330.570
BRW;1971;6;29;0;26;0;329.650
BRW;1971;7;6;0;9;0;326.650
BRW;1971;7;13;0;21;0;325.700
BRW;1971;7;19;23;50;0;319.810
BRW;1971;7;27;0;35;0;319.210
BRW;1971;8;3;0;30;0;319.600
BRW;1971;8;10;0;56;0;313.500
BRW;1971;8;17;0;34;0;314.310
BRW;1971;8;24;0;36;0;312.700
BRW;1971;8;31;0;32;0;312.160
BRW;1971;9;7;0;50;0;311.770
BRW;1971;9;14;1;50;0;320.980
BRW;1971;9;21;1;2;0;319.340
BRW;1971;9;28;0;52;0;315.630
BRW;1971;10;11;0;40;0;317.540
BRW;1971;10;19;1;20;0;319.520
BRW;1971;10;26;1;19;0;324.140
BRW;1971;11;2;1;17;0;326.200
BRW;1971;11;9;1;51;0;325.530
BRW;1971;11;16;1;6;0;332.290
BRW;1971;11;23;1;1;0;329.800
BRW;1971;11;30;0;30;0;328.370
BRW;1971;12;6;0;18;0;329.770
BRW;1971;12;14;0;18;0;365.380
BRW;1971;12;21;2;24;0;330.980
BRW;1971;12;28;0;50;0;352.360
BRW;1972;1;4;0;42;0;331.110
BRW;1972;1;11;0;54;0;334.710
BRW;1972;1;18;0;53;0;333.780
BRW;1972;1;24;1;5;0;345.460
BRW;1972;2;1;1;3;0;342.440
BRW;1972;2;8;0;58;0;338.660
BRW;1972;2;15;0;45;0;336.000
BRW;1972;2;22;0;45;0;336.350
BRW;1972;2;29;8;4;0;336.750
BRW;1972;3;7;23;44;0;347.030
BRW;1972;3;14;1;44;0;343.350
BRW;1972;3;22;1;49;0;338.000
BRW;1972;3;28;23;52;0;334.670
BRW;1972;4;4;0;50;0;331.970
BRW;1972;4;18;15;20;0;330.870
BRW;1972;5;2;14;59;0;333.150
BRW;1972;5;9;15;2;0;328.340
BRW;1972;5;16;1;2;0;328.460
BRW;1972;5;25;1;5;0;332.740
BRW;1972;5;30;23;35;0;327.240
BRW;1972;6;6;0;58;0;327.810
BRW;1972;6;15;1;22;0;334.170
BRW;1972;6;21;1;21;0;333.440
BRW;1972;6;28;1;58;0;330.750
BRW;1972;7;6;0;45;0;320.910
BRW;1972;7;12;0;18;0;320.220
BRW;1972;7;19;1;30;0;328.100
BRW;1972;7;25;0;33;0;322.960
BRW;1972;8;1;1;17;0;331.230
BRW;1972;8;7;1;5;0;318.040
BRW;1972;8;14;0;51;0;319.170
BRW;1972;8;22;23;45;0;318.050
BRW;1972;8;31;1;30;0;318.770
BRW;1972;8;31;1;30;0;318.980
BRW;1972;9;7;0;31;0;319.630
BRW;1972;9;14;0;28;0;327.040
BRW;1972;9;20;19;27;0;328.120
